Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
Naoki Abe,M,23.0,173.0,68.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,,13.133201370410937,22.720438370810918,1.8103645479923427,54.667,1711.769,2977.5004
Nils Georg berg,M,19.0,181.0,78.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze,13.15403151672223,23.808797045267237,1.9830035723596775,60.873000000000005,1916.2930000000001,3294.2563999999998
Pasqualino Abeti,M,24.0,173.0,66.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,12.74693074186944,22.052190183434128,1.787540626411066,53.852999999999994,1677.519,2920.8768
Mitsuhiro Abiko,M,19.0,169.0,62.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,,12.84492508404621,21.707923392038097,1.7113965514971103,51.157,1636.257,2852.7556
"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,11.279627268034464,20.528921627822726,1.8781677017361076,57.06999999999999,1783.796,3064.1844
Abdul Razzak Aboobakur,M,25.0,168.0,59.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,12.442973221034448,20.904195011337873,1.6685055586766804,49.669,1549.504,2719.5392
Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,
Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,
Zaid Abou Hamed,M,30.0,182.0,79.0,Syria,SYR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,,13.104272855510628,23.849776597029344,2.00174887797203,61.547,1860.7960000000003,3218.3692
Adeola Aboyade-Cole,M,22.0,193.0,78.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,,10.849823558221892,20.940159467368254,2.0774739121017554,64.077,1956.0790000000002,3330.4184000000005
Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,12.55374791272146,22.47120876377142,1.9013018995911648,57.89699999999999,1803.537,3113.5936
Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,12.55374791272146,22.47120876377142,1.9013018995911648,57.89699999999999,1803.537,3113.5936
Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,12.55379542759869,21.71806608974573,1.7759794041392534,53.446,1670.519,2906.86
Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,12.55379542759869,21.71806608974573,1.7759794041392534,53.446,1670.519,2906.86
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
Sidney Solomon Abrahams,M,21.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,,,,,,,
Sidney Solomon Abrahams,M,21.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Long Jump,,,,,,,
Sidney Solomon Abrahams,M,27.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,,,,,,,
Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze,11.987938168966256,20.61925365062196,1.7214310315235932,51.551,1617.266,2816.8068000000003
Antnio da Cunha Meneses Martins Abrantes,M,20.0,176.0,68.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,12.4729996243426,21.952479338842977,1.8330710379400292,55.468,1747.028,3022.2784
Arnaldo Lus Isaas Abrantes,M,21.0,183.0,72.0,Portugal,POR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,11.748413597026476,21.49959688255845,1.9320113555938376,58.965,1830.299,3144.7075999999997
