Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,22,193,78.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles,10.849823558221892,20.940159467368254,2.0774739121017554,64.077,1956.0790000000002,3330.4184000000005
M,22,179,72.0,Costa Rica,Summer,Athletics,Athletics Men's 100 metres,12.55374791272146,22.47120876377142,1.9013018995911648,57.89699999999999,1803.537,3113.5936
M,22,179,72.0,Costa Rica,Summer,Athletics,Athletics Men's 200 metres,12.55374791272146,22.47120876377142,1.9013018995911648,57.89699999999999,1803.537,3113.5936
M,23,173,65.0,Panama,Summer,Athletics,Athletics Men's 100 metres,12.55379542759869,21.71806608974573,1.7759794041392534,53.446,1670.519,2906.86
M,23,173,65.0,Panama,Summer,Athletics,Athletics Men's 200 metres,12.55379542759869,21.71806608974573,1.7759794041392534,53.446,1670.519,2906.86
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
M,20,183,75.0,Great Britain,Summer,Athletics,Athletics Men's Long Jump,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1878.299,3224.8779999999997
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
M,24,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1851.299,3186.758
M,22,172,61.0,Sweden,Summer,Athletics,Athletics Men's Long Jump,11.987938168966256,20.61925365062196,1.7214310315235932,51.551,1617.266,2816.8068000000003
M,20,176,68.0,Portugal,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.4729996243426,21.952479338842977,1.8330710379400292,55.468,1747.028,3022.2784
M,21,183,72.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,11.748413597026476,21.49959688255845,1.9320113555938376,58.965,1830.299,3144.7075999999997
M,25,183,72.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,11.748413597026476,21.49959688255845,1.9320113555938376,58.965,1803.299,3106.5876
M,26,174,68.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.908065718759065,22.460034350640772,1.8179453206415095,54.934,1696.522,2954.3064000000004
M,27,173,74.0,Bangladesh,Summer,Athletics,Athletics Men's 100 metres,14.292013256035432,24.725182932941294,1.8766065564138752,57.108999999999995,1767.269,3080.6611999999996
M,18,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,12.380985322047117,21.29529475392104,1.7451958885869387,52.364999999999995,1671.766,2902.0204000000003
M,22,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,12.380985322047117,21.29529475392104,1.7451958885869387,52.364999999999995,1644.766,2863.9004
M,23,170,67.0,Palestine,Summer,Athletics,Athletics Men's 100 metres,13.63728882556483,23.18339100346021,1.776329722893009,53.45899999999999,1683.01,2937.7656
M,23,190,74.0,Italy,Summer,Athletics,Athletics Men's 110 metres Hurdles,10.78874471497303,20.498614958448755,2.008566269800717,61.647999999999996,1879.3200000000002,3210.5132000000003
M,22,175,65.0,Peru,Summer,Athletics,Athletics Men's 200 metres,12.128279883381925,21.224489795918366,1.7908412344206386,53.980000000000004,1687.275,2927.1820000000002
M,26,175,65.0,Peru,Summer,Athletics,Athletics Men's 400 metres,12.128279883381925,21.224489795918366,1.7908412344206386,53.980000000000004,1660.275,2889.0620000000004
