Sex,Age,Height,Weight,Team,Season,Sport,Event
M,23.0,175.0,71.0,Hungary,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres
M,23.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres
M,23.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres
M,27.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres
M,27.0,180.0,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,169.0,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,26.0,169.0,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres
M,20.0,170.0,56.0,Canada,Summer,Athletics,Athletics Men's 100 metres
M,20.0,170.0,56.0,Canada,Summer,Athletics,Athletics Men's 200 metres
M,20.0,170.0,56.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,23.0,178.0,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,20.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 400 metres
M,24.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,28.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres
M,28.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,32.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres
M,32.0,183.0,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,181.0,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,24.0,186.0,77.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,22.0,177.0,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,26.0,177.0,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,19.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,19.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres
M,19.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,22.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres
M,22.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,26.0,186.0,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,24.0,162.0,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,28.0,162.0,65.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,28.0,162.0,65.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres
