Sex,Age,Height,Weight,Team,Season,Sport,Event,total_arm_cmprox,total_leg_cmprox,hat_cmprox,total_arm_cmdist,total_leg_cmdist,hat_cmdist,total_arm_rgcm,total_leg_rgcm,hat_rgcm,total_arm_rgprox,total_leg_rgprox,hat_rgprox,total_arm_rgdist,total_leg_rgdist,hat_rgdist
M,27,178,73.0,Turkey,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,179,76.0,Antigua and Barbuda,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,179,76.0,Antigua and Barbuda,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,183,92.0,Canada,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,175,75.0,Italy,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,26,175,75.0,Italy,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,183,73.0,Ireland,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,168,58.0,Belgium,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,174,66.0,France,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,172,63.0,France,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,172,63.0,France,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,181,70.0,Cuba,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,183,64.0,United States,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,18,170,64.0,Portugal,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,18,170,64.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,170,64.0,Portugal,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,170,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,170,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,18,180,82.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,22,180,76.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,22,180,76.0,France,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,174,70.0,Soviet Union,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,174,70.0,Soviet Union,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,174,70.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,174,70.0,Soviet Union,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,174,70.0,Soviet Union,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,173,68.0,Australia,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,173,68.0,Australia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,173,68.0,Australia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,176,66.0,Argentina,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,176,66.0,Argentina,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,28,170,73.0,Guyana,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,181,80.0,France,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,29,181,80.0,France,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,180,83.0,Pakistan,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,29,176,76.0,Australia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,170,61.0,Botswana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,169,65.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,169,65.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,33,169,65.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,19,178,74.0,West Germany,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,176,74.0,Cameroon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,176,74.0,Cameroon,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,176,74.0,Cameroon,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,176,74.0,Cameroon,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,183,70.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,180,86.0,United States,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,19,171,71.0,Australia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,21,185,79.0,Cuba,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,24,189,75.0,Congo (Kinshasa),Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,173,71.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,27,173,71.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,173,71.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,190,71.0,West Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,190,71.0,West Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,29,181,85.0,Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,168,57.0,Philippines,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,168,57.0,Philippines,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,189,79.0,Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,189,79.0,Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,28,184,75.0,Israel,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,18,173,72.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,191,70.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,20,175,70.0,Bermuda,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,193,84.0,United States,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,20,178,74.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,23,174,70.0,Seychelles,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,177,80.0,Netherlands,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,191,82.0,East Germany,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,24,191,82.0,East Germany,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,182,72.0,Australia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,178,78.0,Jamaica,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,25,178,78.0,Jamaica,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,29,178,78.0,Jamaica,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,21,178,72.0,Mexico,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,178,72.0,Mexico,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,167,62.0,Ethiopia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,183,82.0,Hungary,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,26,183,82.0,Hungary,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,176,74.0,Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,25,176,74.0,East Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,185,76.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,195,88.0,Serbia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,25,188,75.0,Morocco,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,173,64.0,Ethiopia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,173,64.0,Ethiopia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,190,82.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,190,82.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,174,68.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,20,175,70.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,178,70.0,Italy,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,178,70.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,178,70.0,Italy,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,26,178,70.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,30,178,70.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,178,78.0,France,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,28,172,69.0,United States,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,28,172,69.0,United States,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,184,73.0,Soviet Union,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,25,184,71.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,25,184,71.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,29,184,71.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,180,75.0,Morocco,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,180,75.0,Morocco,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,20,185,73.0,Italy,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,23,185,74.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,21,181,70.0,Italy,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,181,70.0,Italy,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,176,72.0,Cameroon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,176,72.0,Cameroon,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,174,68.0,El Salvador,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,178,69.0,Antigua and Barbuda,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,20,178,69.0,Antigua and Barbuda,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,183,76.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,183,76.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,168,62.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,168,62.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,172,68.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,175,70.0,Honduras,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,170,64.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,170,64.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,170,64.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,26,170,64.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,27,179,68.0,Ethiopia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,31,175,70.0,Guam,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,25,178,72.0,San Marino,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,191,80.0,Soviet Union,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,29,182,73.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,180,67.0,Tunisia,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,27,174,78.0,Austria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,174,78.0,Austria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,31,174,78.0,Austria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,31,174,78.0,Austria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,31,174,78.0,Austria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,183,77.0,Netherlands,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,183,77.0,Netherlands,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,183,77.0,Netherlands,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,183,77.0,Netherlands,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,182,63.0,West Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,20,182,73.0,Germany,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,180,70.0,West Germany,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,19,180,78.0,France,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,23,180,78.0,France,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,185,77.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,185,77.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,22,180,72.0,Switzerland,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,180,72.0,Switzerland,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,30,180,72.0,Switzerland,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,182,83.0,Argentina,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,182,83.0,Argentina,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,22,182,76.0,Morocco,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,182,76.0,Morocco,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,21,180,66.0,Italy,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,180,66.0,Italy,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,180,66.0,Italy,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,180,66.0,Italy,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,29,180,66.0,Italy,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,29,180,66.0,Italy,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,190,81.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,19,176,63.0,France,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,19,176,63.0,France,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,176,63.0,France,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,176,63.0,France,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,184,75.0,West Indies Federation,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,28,184,75.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,30,182,94.0,Monaco,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,178,90.0,Saint Lucia,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,28,187,78.0,Cuba,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,187,82.0,Canada,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,187,82.0,Canada,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,26,190,75.0,Kenya,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,25,187,75.0,Belgium,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,185,64.0,Ethiopia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,183,65.0,Ethiopia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,183,65.0,Ethiopia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,183,65.0,Ethiopia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,30,183,65.0,Ethiopia,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,30,183,65.0,Ethiopia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,185,72.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,183,78.0,Argentina,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,183,78.0,Argentina,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,183,75.0,Italy,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,170,67.0,Burkina Faso,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,174,72.0,Norway,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,24,174,72.0,Norway,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,27,184,77.0,West Germany,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,184,77.0,West Germany,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,184,79.0,United States,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,185,80.0,Australia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,183,68.0,Central African Republic,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,25,183,68.0,Central African Republic,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,183,77.0,Slovenia,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,170,59.0,Malaysia,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,170,59.0,Malaysia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,18,172,52.0,Malaya,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,180,65.0,Malaysia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,19,172,80.0,Gabon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,172,80.0,Gabon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,172,80.0,Gabon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,31,172,80.0,Gabon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,183,75.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,27,180,75.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,31,180,75.0,Congo (Brazzaville),Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,172,62.0,Poland,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,25,172,62.0,Poland,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,33,172,62.0,Poland,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,27,183,78.0,Australia,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,27,183,78.0,Australia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,172,61.0,India,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,183,73.0,Greece,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,22,192,92.0,Great Britain,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,27,185,74.0,Greece,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,29,176,68.0,Kenya,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,181,71.0,Iceland,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,181,71.0,Iceland,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,25,181,71.0,Iceland,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,25,181,71.0,Iceland,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,186,80.0,United States,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,186,80.0,United States,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,190,79.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,26,190,79.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,30,190,79.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,30,190,79.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,21,170,61.0,Canada,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,172,63.0,United States,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,21,190,79.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,190,79.0,Jamaica,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,25,190,79.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,29,190,79.0,Jamaica,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,29,190,79.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,22,180,68.0,United States,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,25,180,68.0,United States,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,21,186,70.0,Jamaica,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,21,186,70.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,186,70.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,22,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,26,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,180,80.0,Jamaica,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,186,75.0,United States,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,27,170,62.0,Guatemala,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,30,178,69.0,Spain,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,179,76.0,Germany,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,20,180,88.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,180,88.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,180,88.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,28,180,88.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
