Sex,Age,Height,Weight,Team,Season,Sport,Event,total_arm_cmprox,total_leg_cmprox,hat_cmprox,total_arm_cmdist,total_leg_cmdist,hat_cmdist,total_arm_rgcm,total_leg_rgcm,hat_rgcm,total_arm_rgprox,total_leg_rgprox,hat_rgprox,total_arm_rgdist,total_leg_rgdist,hat_rgdist
M,27,173,74.0,Bangladesh,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,18,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,172,63.0,Sudan,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,170,67.0,Palestine,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,190,74.0,Italy,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,175,65.0,Peru,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,175,65.0,Peru,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,22,179,65.0,Venezuela,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,191,75.0,Germany,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,180,83.0,Slovenia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,180,71.0,Mexico,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,178,79.0,Cameroon,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,172,70.0,Seychelles,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,190,83.0,Poland,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,23,175,71.0,Hungary,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,175,71.0,Hungary,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,27,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,169,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,169,68.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,20,170,56.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,178,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,20,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,183,75.0,Ghana,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,24,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,28,183,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,28,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,32,183,75.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,32,183,75.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,181,66.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,186,77.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,177,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,26,177,70.0,France,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,19,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,186,78.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,28,162,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,185,63.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,26,188,80.0,United States,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,20,173,61.0,Uganda,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,20,173,61.0,Uganda,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,168,59.0,Palau,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,170,69.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,28,167,68.0,Togo,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,27,179,74.0,Nigeria,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,23,174,64.0,Portugal,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,174,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,174,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,171,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,171,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,24,180,72.0,Benin,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,180,72.0,Benin,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,194,80.0,Venezuela,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,24,168,62.0,Panama,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,32,168,62.0,Panama,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,178,77.0,Belize,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,26,172,64.0,Cuba,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,185,75.0,Argentina,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,18,169,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,18,169,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
