lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
1			140450645	550.91	435.0	65535	173	87	2.37	99.5	35.5	246.0	11.59	50.09	841.0
1			140453805	571.45	435.6	65535	173	87	2.361	97.5	35.5	246.0	11.81	50.09	816.0
1			140457158	593.24	437.20000000000005	65535	172	87	2.342	95.5	36.0	250.0	11.81	49.9	799.0
1			140458104	599.14	438.20000000000005	65535	169	86	2.333	96.5	35.75	250.0	11.81	50.03	797.0
1			140458756	603.18	438.79999999999995	65535	169	87	2.323	95.5	35.75	248.0	12.18	50.03	774.0
1			140460523	614.59	439.79999999999995	65535	172	86	2.305	97.5	36.5	254.0	12.37	49.68	774.0
1			140461972	624.64	440.4	65535	175	86	2.305	100.5	36.5	253.0	12.5	49.68	794.0
1			140462335	627.13	440.6	65535	175	86	2.314	100.5	36.5	255.0	12.28	49.68	808.0
1			140463845	637.16	440.79999999999995	65535	178	86	2.323	102.5	36.0	252.0	12.18	49.68	830.0
1			140465847	649.63	440.79999999999995	65535	175	86	2.333	103.5	35.75	250.0	12.18	49.4	837.0
1			140466254	652.17	440.4	65535	175	86	2.342	104.2	35.75	250.0	12.18	49.31	839.0
1			140469643	673.34	440.20000000000005	65535	176	87	2.37	100.5	36.25	251.0	11.71	49.62	848.0
1			140470445	678.34	439.79999999999995	65535	176	86	2.379	101.5	36.25	251.0	11.59	49.81	864.0
1			140473704	698.7	438.6	65535	174	84	2.389	105.2	35.5	251.0	11.81	50.31	870.0
1			140475510	709.89	438.20000000000005	65535	171	84	2.361	104.2	35.75	253.0	12.37	49.78	827.0
1			140478882	730.82	438.20000000000005	65535	170	86	2.351	101.5	36.0	252.0	12.5	49.68	806.0
1			140480055	738.11	437.4	65535	174	86	2.351	101.5	35.5	249.0	12.37	50.0	813.0
1			140482653	754.41	434.79999999999995	65535	177	86	2.351	101.5	35.25	246.0	12.18	50.43	826.0
1			140483391	759.05	434.6	65535	178	86	2.342	100.5	35.5	249.0	12.18	50.53	823.0
1			140486740	780.02	433.6	65535	177	84	2.333	109.2	35.75	256.0	12.78	50.43	827.0
1			140488776	792.76	432.20000000000005	65535	174	84	2.333	106.2	35.75	254.0	12.68	49.75	827.0
1			140489181	795.29	432.20000000000005	65535	173	84	2.342	106.2	35.75	253.0	12.59	49.53	833.0
1			140492595	816.42	433.0	65535	171	85	2.351	106.2	35.75	252.0	12.28	49.31	848.0
1			140492985	818.85	433.4	65535	172	85	2.351	106.2	35.5	250.0	12.37	49.31	848.0
1			140496416	840.17	433.20000000000005	65535	174	85	2.351	107.2	35.25	250.0	12.68	48.68	833.0
1			140499927	862.14	432.79999999999995	65535	173	84	2.379	107.2	36.25	257.0	12.0	49.03	879.0
1			140503154	882.29	433.4	65535	174	85	2.389	106.2	35.75	252.0	12.0	49.21	874.0
1			140506656	904.03	434.4	65535	174	85	2.407	104.2	35.5	250.0	11.81	50.0	878.0
1			140509882	924.06	435.0	65535	173	83	2.379	109.2	35.25	252.0	12.59	50.46	855.0
1			140511342	933.17	434.79999999999995	65535	170	84	2.37	105.2	35.75	253.0	12.59	50.37	822.0
1			140514649	953.51	437.4	65535	170	84	2.342	109.2	35.5	252.0	13.06	50.28	821.0
1			140517445	971.12	438.20000000000005	65535	173	84	2.333	108.2	35.75	254.0	13.15	50.28	812.0
1			140519080	981.71	439.4	65535	173	84	2.351	108.2	35.5	253.0	12.87	50.09	834.0
1			140521926	1000.31	442.20000000000005	65535	171	83	2.417	111.2	35.25	253.0	12.37	50.5	884.0
2			140523102	1007.61	442.20000000000005	65535	168	83	2.426	110.2	36.0	257.0	12.28	50.5	881.0
2			140526569	1029.1	441.4	65535	167	83	2.426	110.2	36.0	258.0	12.28	50.5	882.0
2			140530117	1051.0	439.6	65535	167	83	2.379	111.2	35.75	257.0	12.96	50.31	841.0
2			140532307	1064.52	439.20000000000005	65535	170	84	2.351	107.2	35.75	256.0	12.87	49.87	829.0
2			140535606	1085.05	438.20000000000005	65535	171	84	2.333	106.2	35.75	255.0	12.68	50.18	832.0
2			140537888	1099.22	437.6	65535	171	84	2.323	104.2	36.0	256.0	12.5	50.46	825.0
2			140541275	1120.3	435.79999999999995	65535	172	84	2.314	107.2	36.25	258.0	12.68	50.56	837.0
2			140543553	1134.66	437.20000000000005	65535	169	83	2.323	109.2	36.0	260.0	12.59	50.37	849.0
2			140545610	1147.6	437.6	65535	168	82	2.314	108.2	37.5	274.0	12.5	50.28	856.0
2			140542128	1170.01	434.6	65535	167	83	2.267	111.2	35.25	254.0	13.84	50.46	801.0
2			140538690	1191.61	432.6	65535	167	84	2.277	108.2	35.75	255.0	13.06	50.09	813.0
2			140535187	1213.36	430.20000000000005	65535	169	84	2.286	108.2	35.5	253.0	12.96	49.5	826.0
2			140531742	1234.77	427.0	65535	170	83	2.295	105.2	35.75	257.0	12.37	49.84	847.0
2			140528298	1256.35	425.4	65535	170	83	2.277	106.2	35.0	252.0	12.96	50.12	802.0
2			140524912	1277.54	425.6	65535	172	84	2.267	105.2	35.75	253.0	12.87	50.31	807.0
2			140521498	1299.01	428.20000000000005	65535	172	85	2.277	105.2	36.0	253.0	12.78	50.31	812.0
2			140518112	1320.62	428.6	65535	173	84	2.295	106.2	36.5	261.0	12.28	50.43	853.0
2			140516040	1333.5	428.4	65535	170	84	2.305	106.2	36.5	260.0	12.37	50.53	839.0
2			140514173	1345.1	428.0	65535	167	83	2.314	109.2	36.0	258.0	12.5	50.53	852.0
2			140511373	1362.58	426.6	65535	170	84	2.305	106.2	36.25	258.0	12.68	50.53	826.0
2			140509495	1374.36	426.0	65535	173	84	2.305	106.2	36.25	259.0	12.59	50.62	827.0
2			140506226	1394.6	427.79999999999995	65535	171	83	2.314	105.2	36.5	263.0	12.28	50.71	852.0
2			140503603	1410.89	428.4	65535	168	83	2.333	106.2	36.75	264.0	12.0	50.62	868.0
2			140501794	1422.12	428.6	65535	171	83	2.323	105.2	36.5	261.0	12.28	50.53	838.0
2			140500697	1429.03	429.20000000000005	65535	174	84	2.314	103.5	36.75	263.0	12.28	50.53	825.0
2			140499333	1437.56	430.4	65535	175	84	2.305	102.5	36.0	259.0	12.37	50.53	819.0
