lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	Form Power	power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
1			140208363	231.0	438.0	19713.0	80.0	349.0	141.0	89.0	4.178	98.0		249.0	7.0	50.5	1380.0
1			140207659	235.5	438.0	20067.0	80.0	354.0	141.0	90.0	4.167	97.0		246.0	7.0	50.4	1380.0
1			140206920	240.0	438.0	20426.0	80.0	359.0	140.0	90.0	4.156	97.0		244.0	7.0	50.3	1380.0
1			140206216	242.5	438.0	20788.0	80.0	362.0	141.0	90.0	4.156	97.0		242.0	7.0	50.2	1380.0
1			140205524	245.0	438.0	21154.0	80.0	366.0	141.0	90.0	4.156	97.0		240.0	7.0	50.1	1380.0
1			140204832	251.5	438.0	21519.0	80.0	365.0	141.0	89.0	4.139	98.0		242.0	7.0	50.2	1380.0
1			140204140	258.0	438.0	21883.0	80.0	364.0	139.0	89.0	4.122	99.0		245.0	7.1	50.3	1380.0
1			140203484	261.5	438.0	22242.0	80.0	359.0	139.0	89.0	4.122	99.0		241.0	7.1	50.3	1380.0
1			140202887	265.0	438.0	22597.0	81.0	355.0	139.0	90.0	4.122	99.0		238.0	7.2	50.3	1380.0
1			140202314	268.5	438.0	22946.0	81.0	349.0	138.0	89.0	4.122	100.0		243.0	7.2	50.2	1380.0
1			140201790	272.0	438.0	23289.0	82.0	343.0	138.0	89.0	4.122	101.0		249.0	7.2	50.2	1380.0
1			140201265	275.5	437.0	23624.0	82.0	335.0	138.0	89.0	4.089	100.0		244.0	7.2	50.5	1380.0
1			140200752	279.0	437.0	23952.0	82.0	328.0	138.0	90.0	4.058	99.0		239.0	7.2	50.8	1380.0
1			140200250	282.5	437.0	24277.0	81.0	325.0	138.0	89.0	4.058	100.0		246.0	7.2	49.9	1380.0
1			140199749	286.0	437.0	24600.0	81.0	323.0	138.0	88.0	4.058	101.0		254.0	7.3	49.0	1380.0
1			140199272	289.5	437.0	24919.0	81.0	319.0	138.0	88.0	4.017	100.0		249.0	7.3	49.7	1370.0
1			140198843	293.0	437.0	25234.0	82.0	315.0	138.0	89.0	3.978	100.0		244.0	7.3	50.4	1360.0
1			140198461	296.5	437.0	25547.0	82.0	313.0	138.0	89.0	3.978	101.0		244.0	7.4	50.6	1350.0
1			140198139	300.0	437.0	25858.0	82.0	311.0	138.0	89.0	3.978	102.0		245.0	7.5	50.8	1350.0
1			140197876	304.0	437.0	26168.0	82.0	310.0	138.0	89.0	3.978	101.0		244.0	7.5	50.8	1340.0
1			140197662	308.0	437.0	26477.0	82.0	309.0	138.0	89.0	3.978	101.0		244.0	7.6	50.9	1330.0
1			140197506	311.5	437.0	26784.0	82.0	307.0	138.0	90.0	3.931	100.0		242.0	7.6	50.5	1320.0
1			140197387	315.0	437.0	27090.0	82.0	306.0	138.0	90.0	3.886	100.0		240.0	7.6	50.2	1320.0
1			140197316	319.5	437.0	27398.0	82.0	308.0	138.0	89.0	3.886	100.0		244.0	7.6	50.3	1310.0
1			140197244	324.0	437.0	27708.0	82.0	310.0	138.0	88.0	3.886	101.0		249.0	7.7	50.4	1310.0
1			140197196	328.0	437.0	28021.0	82.0	313.0	138.0	89.0	3.872	101.0		246.0	7.7	50.5	1300.0
1			140197137	332.0	437.0	28338.0	82.0	317.0	137.0	90.0	3.858	101.0		243.0	7.7	50.7	1300.0
1			140197089	336.0	437.0	28660.0	82.0	322.0	137.0	90.0	3.858	100.0		240.0	7.7	50.3	1290.0
1			140197041	340.0	437.0	28987.0	82.0	327.0	137.0	90.0	3.858	99.0		238.0	7.8	49.9	1290.0
1			140196993	344.0	437.0	29321.0	82.0	334.0	137.0	89.0	3.858	100.0		244.0	7.8	49.7	1290.0
1			140196934	348.0	437.0	29663.0	82.0	342.0	137.0	88.0	3.858	101.0		250.0	7.8	49.5	1290.0
1			140196874	352.0	437.0	30011.0	82.0	348.0	138.0	89.0	3.867	100.0		246.0	7.8	50.1	1290.0
1			140196826	356.0	437.0	30366.0	82.0	355.0	138.0	90.0	3.878	100.0		242.0	7.8	50.7	1290.0
1			140196803	359.5	437.0	30724.0	82.0	358.0	138.0	89.0	3.878	101.0		247.0	7.8	50.6	1290.0
1			140196791	363.0	437.0	31085.0	83.0	361.0	138.0	88.0	3.878	103.0		253.0	7.9	50.6	1290.0
1			140196779	367.5	437.0	31448.0	82.0	363.0	138.0	88.0	3.883	102.0		250.0	7.8	50.4	1290.0
1			140196755	372.0	437.0	31813.0	82.0	365.0	138.0	89.0	3.889	102.0		248.0	7.8	50.3	1290.0
1			140196731	375.5	437.0	32179.0	82.0	366.0	138.0	89.0	3.889	102.0		247.0	7.8	50.2	1290.0
1			140196707	379.0	437.0	32546.0	83.0	367.0	138.0	89.0	3.889	102.0		246.0	7.8	50.2	1300.0
1			140196683	383.0	437.0	32913.0	82.0	367.0	138.0	89.0	3.889	101.0		244.0	7.8	50.3	1290.0
1			140196624	387.0	438.0	33281.0	82.0	368.0	140.0	90.0	3.889	101.0		243.0	7.8	50.4	1290.0
1			140196552	390.5	438.0	33648.0	82.0	367.0	140.0	89.0	3.883	101.0		244.0	7.8	50.4	1290.0
1			140196445	394.0		34014.0	82.0	366.0	139.0	89.0	3.881	102.0		245.0	7.8	50.5	1290.0
1			140196325	397.5		34378.0	82.0	364.0	139.0	89.0	3.881	102.0		244.0	7.8	50.8	1300.0
1			140196218	401.0		34740.0	82.0	362.0	139.0	89.0	3.881	102.0		243.0	7.9	51.1	1310.0
1			140196123	404.5		35098.0	82.0	358.0	139.0	88.0	3.872	103.0		246.0	7.8	51.2	1310.0
1			140196063	408.0					139.0								
1			140196063	411.8					139.0								
1			140196146	411.8													
