latitude	longitude	lap	altitude	timestamp	heart_rate	power	accumulated_power	cadence	speed	stance_time	stance_time_percent	stance_time_balance	step_length	vertical_ratio	vertical_oscillation
48.18220789544284	11.355448113754392	1	508.0	2022-04-27 15:45:51+00:00	167		65535	91	4.479	184.0	28.25	49.31	1491.0	6.34	97.5
48.18217998370528	11.355577614158392	1	507.79999999999995	2022-04-27 15:45:53+00:00	164		65535	91	4.488	183.0	28.0	49.31	1500.0	6.25	97.5
48.18217445164919	11.355640394613147	1	507.79999999999995	2022-04-27 15:45:54+00:00	164		65535	91	4.497	181.0	27.75	49.31	1504.0	6.25	97.5
48.1821824144572	11.355836782604456	1	507.6	2022-04-27 15:45:57+00:00	162		65535	91	4.516	183.0	27.5	49.21	1554.0	6.25	100.5
48.182295486330986	11.356105590239167	1	506.6	2022-04-27 15:46:02+00:00	165		65535	89	4.423	180.0	26.75	48.53	1553.0	6.34	102.5
48.18241492845118	11.356272976845503	1	505.6	2022-04-27 15:46:06+00:00	162		65535	89	4.367	186.0	27.5	48.93	1524.0	6.62	105.2
48.18255121819675	11.356474310159683	1	504.79999999999995	2022-04-27 15:46:11+00:00	162		65535	89	4.311	186.0	27.75	49.71	1458.0	6.81	107.2
48.18266227841377	11.356633063405752	1	504.6	2022-04-27 15:46:15+00:00	159		65535	90	4.273	186.0	28.0	49.81	1429.0	6.71	99.5
48.18280862644315	11.356837414205074	1	504.6	2022-04-27 15:46:20+00:00	161		65535	90	4.292	185.0	28.0	49.71	1435.0	6.62	98.5
48.18294659256935	11.35695786215365	1	506.0	2022-04-27 15:46:24+00:00	164		65535	90	4.292	188.0	28.5	50.43	1462.0	6.53	99.5
48.18305706605315	11.357013517990708	1	506.6	2022-04-27 15:46:27+00:00	166		65535	89	4.301	189.0	28.0	50.43	1611.0	6.81	120.0
